COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
,,,,,,7,Soumya J,I210,Th,9,,
,,,,,,8,Joyjit Mukherjee,I210,T,9,,
,,,,,,9,Niranjan Raj,I212,T,9,,
,,,,,,10,Pritesh Kumar Yadav,I221,T,9,,
,,,,,,11,Pritesh Kumar Yadav,I211,Th,9,,
1660,INSTR F266,STUDY PROJECT,-,-,3,1,S K CHATTERJEE,,,,,
1345,INSTR F311,ELECTRO INST & INST TECH,3,1,4,1,SK MASUM NAWAZ,G108,M T Th,9,12-Dec,AN
,,Practical,,,,1,Sk Masum Nawaz,K125,T,4 5,,
,,,,,,,Ramya K,,,,,
,,,,,,2,Balasubramanian Malayappan,K125,Th,7 8,,
,,,,,,,Ramya K,,,,,
,,Tutorial,,,,1,Balasubramanian Malayappan,I222,M,1,,
,,,,,,2,Balasubramanian Malayappan,I222,W,1,,
